akun,anggaran,realisasi,persentase
Pendapatan Daerah,"4.210,82 M","4.669,64 M",110.9
     PAD,"1.609,82 M","1.921,24 M",119.35
         Pajak Daerah,"953,96 M","1.027,82 M",107.74
         Retribusi Daerah,"73,31 M","65,34 M",89.13
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"30,25 M","31,13 M",102.92
         Lain-Lain PAD yang Sah,"552,29 M","796,95 M",144.3
     TKDD,"2.014,32 M","2.031,97 M",100.88
         Pendapatan Transfer Pemerintah Pusat,"2.014,32 M","2.031,97 M",100.88
     Pendapatan Lainnya,"586,68 M","716,42 M",122.11
         Pendapatan Transfer Antar Daerah,"436,20 M","530,54 M",121.63
         Pendapatan Hibah,"0,00 M","1,87 M",0
         Dana Darurat,"0,00 M","0,00 M",0
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"150,48 M","184,01 M",122.28
Belanja Daerah,"5.329,32 M","4.936,10 M",92.62
     Belanja Pegawai,"1.635,78 M","1.620,05 M",99.04
     Belanja Barang Jasa,"1.630,70 M","1.413,43 M",86.68
     Belanja Modal,"1.171,94 M","919,01 M",78.42
     Belanja Lainnya,"890,90 M","983,61 M",110.41
         Belanja Bunga,"0,00 M","0,00 M",0
         Belanja Subsidi,"2,52 M","4,56 M",181.09
         Belanja Hibah,"156,29 M","147,34 M",94.28
         Belanja Bantuan Sosial,"92,26 M","110,27 M",119.53
         Belanja Tidak Terduga,"38,91 M","56,55 M",145.33
         Belanja Bagi Hasil,"102,73 M","103,20 M",100.46
         Belanja Bantuan Keuangan,"498,19 M","561,68 M",112.74
Surplus/(Defisit),"-1.118,50 M","-266,46 M",23.82
Pembiayaan Daerah,"1.118,50 M","1.107,46 M",99.01
     Penerimaan Pembiayaan Daerah,"1.123,00 M","1.109,33 M",98.78
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"1.122,50 M","1.106,08 M",98.54
         Pencairan Dana Cadangan,"0,00 M","0,00 M",0
         Penjualan Kekayaan Daerah yang Dipisahkan,"0,00 M","0,00 M",0
         Penerimaan Pinjaman Daerah,"0,00 M","0,00 M",0
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,50 M","0,00 M",0
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","3,24 M",0
     Pengeluaran Pembiayaan Daerah,"4,50 M","1,87 M",41.47
         Pembentukan Dana Cadangan,"0,00 M","0,00 M",0
         Penyertaan Modal Daerah,"4,50 M","1,87 M",41.47
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"0,00 M","0,00 M",0
         Pemberian Pinjaman Daerah,"0,00 M","0,00 M",0
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
