akun,anggaran,realisasi,persentase
"Pendapatan Daerah","2.311,24 M","2.407,61 M",104.17
"     PAD","231,59 M","252,69 M",109.11
"         Pajak Daerah","33,69 M","38,70 M",114.88
"         Retribusi Daerah","9,37 M","10,09 M",107.62
"         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan","15,02 M","16,55 M",110.21
"         Lain-Lain PAD yang Sah","173,51 M","187,35 M",107.98
"     TKDD","1.936,73 M","1.911,31 M",98.69
"         Pendapatan Transfer Pemerintah Pusat","1.936,73 M","1.911,31 M",98.69
"     Pendapatan Lainnya","142,92 M","243,61 M",170.45
"         Pendapatan Transfer Antar Daerah","76,46 M","154,26 M",201.76
"         Pendapatan Hibah","10,17 M","2,89 M",28.45
"         Dana Darurat","0,00 M","0,00 M",0
"         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan","56,29 M","86,46 M",153.59
"Belanja Daerah","2.474,46 M","2.390,69 M",96.61
"     Belanja Pegawai","1.052,84 M","928,88 M",88.23
"         Belanja Pegawai","1.052,84 M","928,88 M",88.23
"     Belanja Barang Jasa","501,30 M","485,50 M",96.85
"         Belanja Barang dan Jasa","501,30 M","485,50 M",96.85
"     Belanja Modal","237,26 M","276,61 M",116.59
"         Belanja Modal","237,26 M","276,61 M",116.59
"     Belanja Lainnya","683,06 M","699,70 M",102.44
"         Belanja Bunga","0,00 M","0,00 M",0
"         Belanja Subsidi","0,00 M","0,00 M",0
"         Belanja Hibah","100,68 M","130,68 M",129.79
"         Belanja Bantuan Sosial","35,30 M","17,57 M",49.76
"         Belanja Tidak Terduga","40,83 M","18,02 M",44.14
"         Belanja Bagi Hasil","3,60 M","3,30 M",91.78
"         Belanja Bantuan Keuangan","502,66 M","530,13 M",105.46
Surplus/(Defisit),"-163,22 M","16,92 M",-10.36
"Pembiayaan Daerah","163,22 M","395,09 M",242.06
"     Penerimaan Pembiayaan Daerah","208,22 M","440,09 M",211.36
"         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya","208,22 M","439,94 M",211.28
"         Pencairan Dana Cadangan","0,00 M","0,00 M",0
"         Penjualan Kekayaan Daerah yang Dipisahkan","0,00 M","0,00 M",0
"         Penerimaan Pinjaman Daerah","0,00 M","0,00 M",0
"         Penerimaan Kembali Pemberian Pinjaman Daerah","0,00 M","0,15 M",0
"         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
"     Pengeluaran Pembiayaan Daerah","45,00 M","45,00 M",100.00
"         Pembentukan Dana Cadangan","25,00 M","25,00 M",100.00
"         Penyertaan Modal Daerah","20,00 M","20,00 M",100.00
"         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo","0,00 M","0,00 M",0
"         Pemberian Pinjaman Daerah","0,00 M","0,00 M",0
"         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan","0,00 M","0,00 M",0
